episode,avg_reward,epsilon
0,190.6660,0.995000
1,190.6367,0.990025
2,190.7168,0.985075
3,190.7324,0.980150
4,190.6543,0.975249
5,190.7051,0.970372
6,190.5859,0.965521
7,190.5820,0.960693
8,190.5879,0.955890
9,190.6074,0.951110
10,190.5762,0.946355
11,190.6504,0.941623
12,190.5352,0.936915
13,190.4219,0.932230
14,190.5293,0.927569
15,190.3750,0.922931
16,190.4785,0.918316
17,190.5898,0.913725
18,190.2832,0.909156
19,190.4902,0.904610
20,190.4395,0.900087
21,190.4766,0.895587
22,190.2188,0.891109
23,190.4434,0.886653
24,190.2871,0.882220
25,190.1992,0.877809
26,190.3398,0.873420
27,190.2051,0.869053
28,190.0840,0.864708
29,190.0762,0.860384
30,190.0723,0.856082
31,189.9980,0.851802
32,189.9492,0.847543
33,189.9629,0.843305
34,189.9023,0.839089
35,189.9277,0.834893
36,189.8867,0.830719
37,189.7754,0.826565
38,189.8301,0.822432
39,189.6270,0.818320
40,189.6797,0.814229
41,189.8262,0.810157
42,189.5605,0.806107
43,189.4863,0.802076
44,189.5371,0.798066
45,189.5176,0.794075
46,189.4668,0.790105
47,189.3438,0.786154
48,189.3555,0.782224
49,189.2852,0.778313
50,189.1953,0.774421
51,189.2578,0.770549
52,189.1562,0.766696
53,189.1055,0.762863
54,188.9746,0.759048
55,188.9316,0.755253
56,188.9082,0.751477
57,188.9648,0.747720
58,188.7715,0.743981
59,188.7266,0.740261
60,188.5547,0.736560
61,188.7480,0.732877
62,188.5684,0.729213
63,188.6543,0.725566
64,188.4648,0.721939
65,188.5312,0.718329
66,188.3438,0.714737
67,188.4180,0.711164
68,188.4062,0.707608
69,188.2109,0.704070
70,188.2031,0.700549
71,188.3223,0.697047
72,188.0410,0.693561
73,188.1562,0.690094
74,188.0176,0.686643
75,188.0898,0.683210
76,187.8125,0.679794
77,187.9824,0.676395
78,187.7422,0.673013
79,187.8809,0.669648
80,187.8066,0.666300
81,187.6992,0.662968
82,187.7676,0.659653
83,187.4375,0.656355
84,187.5742,0.653073
85,187.4980,0.649808
86,187.3984,0.646559
87,187.4121,0.643326
88,187.3262,0.640109
89,187.2500,0.636909
90,187.1641,0.633724
91,187.1035,0.630556
92,187.0742,0.627403
93,187.0332,0.624266
94,186.9199,0.621145
95,186.8984,0.618039
96,186.9004,0.614949
97,186.7285,0.611874
98,186.7852,0.608815
99,186.6973,0.605771
100,186.6191,0.602742
101,186.6973,0.599728
102,186.4844,0.596729
103,186.4160,0.593746
104,186.2383,0.590777
105,186.4180,0.587823
106,186.4473,0.584884
107,186.2773,0.581959
108,186.1387,0.579050
109,186.0703,0.576154
110,186.0312,0.573274
111,186.1406,0.570407
112,186.0430,0.567555
113,185.9082,0.564718
114,185.9902,0.561894
